Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BBT,BBT,BBT,BBT,BBT,BBT
Date,,,,,,
2000-06-28,6.204595565795898,12.3125,12.5,12.3125,12.5,2326700
2000-06-29,6.173099517822266,12.25,12.25,12.125,12.125,372500
2000-06-30,6.425062656402588,12.75,12.75,12.1875,12.1875,213100
2000-07-03,6.362071990966797,12.625,12.75,12.5,12.75,47300
2000-07-05,6.3305768966674805,12.5625,12.625,12.5,12.5,90500
2000-07-06,6.362071990966797,12.625,12.75,12.4375,12.5,176000
2000-07-07,6.456559658050537,12.8125,12.875,12.5,12.5,130500
2000-07-10,6.488056182861328,12.875,12.9375,12.75,12.75,95500
2000-07-11,6.362071990966797,12.625,12.75,12.625,12.75,64400
2000-07-12,6.519547939300537,12.9375,12.9375,12.625,12.625,81500
2000-07-13,6.488056182861328,12.875,12.875,12.875,12.875,43700
2000-07-14,6.488056182861328,12.875,12.9375,12.8125,12.8125,62900
2000-07-17,6.456559658050537,12.8125,12.875,12.75,12.875,50900
2000-07-18,6.425062656402588,12.75,12.8125,12.625,12.6875,13800
2000-07-19,6.3305768966674805,12.5625,12.75,12.5625,12.75,48300
2000-07-20,6.393569469451904,12.6875,12.6875,12.625,12.6875,17100
2000-07-21,6.425062656402588,12.75,12.75,12.625,12.625,37400
2000-07-24,6.393569469451904,12.6875,12.75,12.625,12.75,47400
2000-07-25,6.3305768966674805,12.5625,12.625,12.5,12.625,11800
2000-07-26,6.393569469451904,12.6875,12.6875,12.5625,12.625,48400
2000-07-27,6.456559658050537,12.8125,12.8125,12.625,12.6875,60500
2000-07-28,6.362071990966797,12.625,12.8125,12.625,12.75,36000
2000-07-31,6.3305768966674805,12.5625,12.625,12.5625,12.625,27000
2000-08-01,6.362071990966797,12.625,12.6875,12.5625,12.5625,38800
2000-08-02,6.425062656402588,12.75,12.75,12.625,12.6875,45800
2000-08-03,6.425062656402588,12.75,12.75,12.625,12.625,64500
2000-08-04,6.551044940948486,13.0,13.0,12.6875,12.6875,241500
2000-08-07,6.740016937255859,13.375,13.5,13.0,13.0,218700
2000-08-08,6.928989887237549,13.75,13.75,13.3125,13.3125,60300
2000-08-09,6.8974928855896,13.6875,13.875,13.6875,13.875,15300
2000-08-10,6.803008556365967,13.5,13.6875,13.5,13.6875,15200
2000-08-11,6.928989887237549,13.75,14.0,13.6875,13.6875,20100
2000-08-14,7.054970741271973,14.0,14.0,13.875,13.875,23000
2000-08-15,7.023478031158447,13.9375,14.0,13.9375,13.9375,31500
2000-08-16,7.023478031158447,13.9375,14.0,13.9375,14.0,24500
2000-08-17,7.212447166442871,14.3125,14.4375,14.0,14.0,48900
2000-08-18,7.180953025817871,14.25,14.4375,14.25,14.25,49100
2000-08-21,7.212447166442871,14.3125,14.375,14.3125,14.375,7000
2000-08-22,7.306934356689453,14.5,14.5,14.3125,14.375,45100
2000-08-23,7.3384246826171875,14.5625,14.625,14.5,14.5,8800
2000-08-24,7.495905876159668,14.875,15.0,14.75,14.75,36300
2000-08-25,7.495905876159668,14.875,14.875,14.875,14.875,5300
2000-08-28,7.495905876159668,14.875,14.875,14.75,14.875,9800
2000-08-29,7.495905876159668,14.875,14.875,14.875,14.875,19800
2000-08-30,7.401424884796143,14.6875,14.75,14.6875,14.75,8000
2000-08-31,7.369927406311035,14.625,14.625,14.5,14.625,9700
2000-09-01,7.306934356689453,14.5,14.5,14.5,14.5,500
2000-09-05,7.243941783905029,14.375,14.375,14.375,14.375,400
2000-09-06,7.306934356689453,14.5,14.625,14.5,14.625,12300
2000-09-07,7.495905876159668,14.875,15.0,14.625,14.625,37700
2000-09-08,7.369927406311035,14.625,14.75,14.5,14.75,15100
2000-09-11,7.401424884796143,14.6875,14.75,14.5625,14.5625,1500
2000-09-12,7.432920455932617,14.75,14.875,14.75,14.75,6200
2000-09-13,7.432920455932617,14.75,14.75,14.625,14.625,9000
2000-09-14,7.432920455932617,14.75,14.75,14.6875,14.75,13300
2000-09-15,7.432920455932617,14.75,14.75,14.6875,14.75,11900
2000-09-18,7.432920455932617,14.75,14.75,14.625,14.75,16700
2000-09-19,7.369927406311035,14.625,14.75,14.625,14.75,8100
2000-09-20,7.2754387855529785,14.4375,14.625,14.25,14.625,24000
2000-09-21,7.1494574546813965,14.1875,14.375,14.0,14.25,43000
2000-09-22,7.117963790893555,14.125,14.125,13.75,14.0625,45000
2000-09-25,7.180953025817871,14.25,14.25,14.0625,14.0625,21100
2000-09-26,7.180953025817871,14.25,14.25,14.125,14.125,41500
2000-09-27,7.117963790893555,14.125,14.125,14.125,14.125,7000
2000-09-28,7.243941783905029,14.375,14.5,14.1875,14.1875,37600
2000-09-29,7.243941783905029,14.375,14.375,14.375,14.375,1000
2000-10-02,7.243941783905029,14.375,14.5,14.3125,14.5,7800
2000-10-03,7.180953025817871,14.25,14.375,14.25,14.375,5000
2000-10-04,7.180953025817871,14.25,14.25,14.25,14.25,0
2000-10-05,7.1494574546813965,14.1875,14.25,14.1875,14.25,1500
2000-10-06,7.054970741271973,14.0,14.3125,14.0,14.3125,16400
2000-10-09,6.991979122161865,13.875,14.0,13.75,14.0,9200
2000-10-10,7.054970741271973,14.0,14.0,13.875,13.875,24000
2000-10-11,6.866001605987549,13.625,13.75,13.625,13.75,29400
2000-10-12,6.6140336990356445,13.125,13.75,13.125,13.75,30700
2000-10-13,6.928989887237549,13.75,13.75,13.0,13.25,15900
2000-10-16,6.928989887237549,13.75,13.75,13.75,13.75,5600
2000-10-17,6.803008556365967,13.5,13.5,13.5,13.5,1800
2000-10-18,6.803008556365967,13.5,13.625,13.5,13.5,3100
2000-10-19,6.740016937255859,13.375,13.375,13.375,13.375,800
2000-10-20,6.866001605987549,13.625,13.625,13.625,13.625,5700
2000-10-23,6.928989887237549,13.75,13.75,13.5625,13.5625,24200
2000-10-24,6.8974928855896,13.6875,13.6875,13.6875,13.6875,100
2000-10-25,6.866001605987549,13.625,13.625,13.625,13.625,1500
2000-10-26,7.054970741271973,14.0,14.0,13.625,13.625,12900
2000-10-27,7.3384246826171875,14.5625,14.625,14.125,14.125,41500
2000-10-30,7.369927406311035,14.625,14.75,14.5,14.5,15000
2000-10-31,7.401424884796143,14.6875,14.6875,14.625,14.625,9800
2000-11-01,7.547292232513428,14.875,15.0,14.75,14.75,70900
2000-11-02,7.610714912414551,15.0,15.0,14.875,14.875,4000
2000-11-03,7.674139022827148,15.125,15.125,15.125,15.125,100
2000-11-06,7.642426490783691,15.0625,15.0625,15.0625,15.0625,5000
2000-11-07,7.610714912414551,15.0,15.25,15.0,15.25,25600
2000-11-08,7.579005241394043,14.9375,14.9375,14.9375,14.9375,2500
2000-11-09,7.4838714599609375,14.75,14.75,14.75,14.75,6000
2000-11-10,7.357021808624268,14.5,14.8125,14.5,14.625,5700
2000-11-13,7.325313091278076,14.4375,14.4375,14.4375,14.4375,2000
2000-11-14,7.579005241394043,14.9375,14.9375,14.625,14.625,4900
2000-11-15,7.7375617027282715,15.25,15.25,14.9375,14.9375,53200
2000-11-16,7.4838714599609375,14.75,15.0,14.625,14.75,21000
2000-11-17,6.881355285644531,13.5625,14.5,13.5,14.5,179800
2000-11-20,6.881355285644531,13.5625,13.75,13.5,13.625,19800
2000-11-21,6.849643230438232,13.5,13.5625,13.5,13.5,6200
2000-11-22,6.6593756675720215,13.125,13.5,13.125,13.5,24000
2000-11-24,6.722797870635986,13.25,13.25,13.25,13.25,200
2000-11-27,6.849643230438232,13.5,13.5,13.375,13.375,9100
2000-11-28,6.849643230438232,13.5,13.5,13.5,13.5,3500
2000-11-29,6.786221504211426,13.375,13.5625,13.25,13.5625,31600
2000-11-30,6.722797870635986,13.25,13.5,13.1875,13.5,9200
2000-12-01,6.786221504211426,13.375,13.375,13.375,13.375,16900
2000-12-04,6.881355285644531,13.5625,13.5625,13.375,13.4375,12500
2000-12-05,6.817934036254883,13.4375,13.5,13.375,13.375,41100
2000-12-06,6.913067817687988,13.625,14.125,13.5,13.5,27000
2000-12-07,6.913067817687988,13.625,13.75,13.625,13.75,4000
2000-12-08,7.135046005249023,14.0625,14.0625,13.75,13.75,33500
2000-12-11,7.1667585372924805,14.125,14.25,14.125,14.125,29000
2000-12-12,7.230179786682129,14.25,14.25,13.875,14.0,38700
2000-12-13,7.1667585372924805,14.125,14.125,14.0,14.125,158500
2000-12-14,7.230179786682129,14.25,14.25,14.25,14.25,15500
2000-12-15,7.103335857391357,14.0,14.25,14.0,14.25,91700
2000-12-18,7.293604373931885,14.375,14.375,14.0,14.0,116500
2000-12-19,7.230179786682129,14.25,14.75,13.9375,14.375,32400
2000-12-20,7.261890411376953,14.3125,14.3125,14.0,14.25,7500
2000-12-21,7.293604373931885,14.375,14.5,14.375,14.375,71500
2000-12-22,7.579005241394043,14.9375,15.0,14.5,14.5,10200
2000-12-26,7.4838714599609375,14.75,14.875,14.75,14.75,9100
2000-12-27,7.547292232513428,14.875,14.9375,14.75,14.75,13000
2000-12-28,7.927830696105957,15.625,15.875,15.0,15.0,19400
2000-12-29,7.991255283355713,15.75,16.0,15.5625,15.625,96600
2001-01-02,7.674139022827148,15.125,15.625,14.875,15.625,46500
2001-01-03,7.991255283355713,15.75,16.0,14.875,15.0,60000
2001-01-04,8.086387634277344,15.9375,16.0,15.75,15.75,73600
2001-01-05,7.991255283355713,15.75,15.875,15.625,15.8125,59800
2001-01-08,7.991255283355713,15.75,15.875,15.6875,15.6875,25500
2001-01-09,8.054675102233887,15.875,15.9375,15.625,15.625,56200
2001-01-10,7.991255283355713,15.75,15.875,15.6875,15.75,16700
2001-01-11,7.991255283355713,15.75,15.875,15.6875,15.6875,20400
2001-01-12,7.959540843963623,15.6875,15.8125,15.625,15.625,44100
2001-01-16,8.054675102233887,15.875,16.0,15.6875,15.8125,35200
2001-01-17,8.149806022644043,16.0625,16.125,16.0625,16.125,29000
2001-01-18,8.118098258972168,16.0,16.0,16.0,16.0,2500
2001-01-19,8.118098258972168,16.0,16.0625,16.0,16.0,36400
2001-01-22,8.118098258972168,16.0,16.0,16.0,16.0,1900
2001-01-23,8.30836296081543,16.375,16.4375,16.0625,16.0625,32500
2001-01-24,8.46692180633545,16.6875,16.875,16.5,16.5,89500
2001-01-25,8.498625755310059,16.75,16.75,16.5,16.5,95500
2001-01-26,8.498625755310059,16.75,16.75,16.625,16.75,57600
2001-01-29,8.498625755310059,16.75,16.75,16.649999618530273,16.75,37800
2001-01-30,8.498625755310059,16.75,16.75,16.729999542236328,16.75,14300
2001-01-31,8.625473976135254,17.0,17.25,16.75,16.75,102400
2001-02-01,8.676514625549316,17.0,17.25,16.799999237060547,16.899999618530273,74300
2001-02-02,9.074618339538574,17.780000686645508,17.780000686645508,17.100000381469727,17.100000381469727,529700
2001-02-05,9.069513320922852,17.770000457763672,18.0,17.5,17.780000686645508,186600
2001-02-06,9.13586139678955,17.899999618530273,17.93000030517578,17.799999237060547,17.799999237060547,70000
2001-02-07,9.13586139678955,17.899999618530273,17.90999984741211,17.829999923706055,17.899999618530273,42800
2001-02-08,9.084824562072754,17.799999237060547,17.950000762939453,17.799999237060547,17.950000762939453,48700
2001-02-09,9.186899185180664,18.0,18.0,17.700000762939453,17.700000762939453,23600
2001-02-12,9.186899185180664,18.0,18.0,17.850000381469727,17.899999618530273,13100
2001-02-13,9.243042945861816,18.110000610351562,18.200000762939453,17.950000762939453,17.950000762939453,50700
2001-02-14,9.176691055297852,17.979999542236328,18.110000610351562,17.969999313354492,18.0,5800
2001-02-15,9.447195053100586,18.510000228881836,18.700000762939453,17.950000762939453,17.950000762939453,27400
2001-02-16,9.518647193908691,18.649999618530273,18.649999618530273,18.25,18.25,28200
2001-02-20,9.431883811950684,18.479999542236328,18.989999771118164,18.469999313354492,18.850000381469727,17600
2001-02-21,9.258352279663086,18.139999389648438,18.649999618530273,18.0,18.649999618530273,25500
2001-02-22,9.288979530334473,18.200000762939453,18.360000610351562,18.139999389648438,18.139999389648438,14600
2001-02-23,9.467605590820312,18.549999237060547,18.700000762939453,18.020000457763672,18.020000457763672,16200
2001-02-26,9.44209098815918,18.5,18.600000381469727,18.5,18.600000381469727,2700
2001-02-27,9.350224494934082,18.31999969482422,18.5,18.31999969482422,18.5,2100
2001-02-28,9.263457298278809,18.149999618530273,18.600000381469727,18.149999618530273,18.600000381469727,8400
2001-03-01,9.34001636505127,18.299999237060547,18.299999237060547,18.200000762939453,18.200000762939453,1700
2001-03-02,9.360431671142578,18.34000015258789,18.34000015258789,17.899999618530273,18.200000762939453,17600
2001-03-05,9.288979530334473,18.200000762939453,18.399999618530273,18.200000762939453,18.399999618530273,5700
2001-03-06,9.288979530334473,18.200000762939453,18.200000762939453,18.200000762939453,18.200000762939453,600
2001-03-07,9.288979530334473,18.200000762939453,18.25,18.200000762939453,18.200000762939453,1700
2001-03-08,9.314497947692871,18.25,18.3799991607666,18.200000762939453,18.200000762939453,7800
2001-03-09,9.314497947692871,18.25,18.350000381469727,18.25,18.350000381469727,2100
2001-03-12,9.350224494934082,18.31999969482422,18.360000610351562,18.200000762939453,18.360000610351562,9100
2001-03-13,9.288979530334473,18.200000762939453,18.200000762939453,18.200000762939453,18.200000762939453,7500
2001-03-14,9.288979530334473,18.200000762939453,18.200000762939453,18.200000762939453,18.200000762939453,8700
2001-03-15,9.365530014038086,18.350000381469727,18.350000381469727,18.100000381469727,18.200000762939453,36500
2001-03-16,9.329805374145508,18.280000686645508,18.3700008392334,18.280000686645508,18.3700008392334,1200
2001-03-19,9.34001636505127,18.299999237060547,18.3799991607666,18.200000762939453,18.200000762939453,7700
2001-03-20,9.44209098815918,18.5,18.5,18.299999237060547,18.389999389648438,3600
2001-03-21,9.44209098815918,18.5,18.850000381469727,18.399999618530273,18.850000381469727,9000
2001-03-22,9.365530014038086,18.350000381469727,18.40999984741211,18.0,18.40999984741211,62300
2001-03-23,9.34001636505127,18.299999237060547,18.299999237060547,18.25,18.25,3200
2001-03-26,9.309391021728516,18.239999771118164,18.299999237060547,18.239999771118164,18.299999237060547,2100
2001-03-27,9.518647193908691,18.649999618530273,18.649999618530273,18.299999237060547,18.299999237060547,14600
2001-03-28,9.44209098815918,18.5,18.700000762939453,18.5,18.5,8300
2001-03-29,9.493132591247559,18.600000381469727,18.600000381469727,18.5,18.5,8800
2001-03-30,9.44209098815918,18.5,18.600000381469727,18.5,18.5,59800
2001-04-02,9.34001636505127,18.299999237060547,18.299999237060547,18.200000762939453,18.299999237060547,2000
2001-04-03,9.288979530334473,18.200000762939453,18.200000762939453,17.899999618530273,18.200000762939453,23000
2001-04-04,9.186899185180664,18.0,18.100000381469727,17.899999618530273,18.100000381469727,7700
2001-04-05,9.186899185180664,18.0,18.0,18.0,18.0,200
2001-04-06,9.248146057128906,18.1200008392334,18.200000762939453,18.0,18.0,7900
2001-04-09,9.186899185180664,18.0,18.049999237060547,18.0,18.049999237060547,3700
2001-04-10,9.237937927246094,18.100000381469727,18.100000381469727,18.0,18.0,2800
2001-04-11,9.186899185180664,18.0,18.0,18.0,18.0,61300
2001-04-12,9.288979530334473,18.200000762939453,18.200000762939453,18.020000457763672,18.020000457763672,800
2001-04-16,9.554377555847168,18.719999313354492,18.75,18.200000762939453,18.200000762939453,7800
2001-04-17,9.569685935974121,18.75,18.829999923706055,18.5,18.75,109300
2001-04-18,9.564587593078613,18.739999771118164,18.75,18.610000610351562,18.75,5200
2001-04-19,9.508438110351562,18.6299991607666,18.84000015258789,18.6299991607666,18.739999771118164,3300
2001-04-20,9.44209098815918,18.5,18.5,18.239999771118164,18.5,8400
2001-04-23,9.34001636505127,18.299999237060547,18.299999237060547,18.299999237060547,18.299999237060547,1500
2001-04-24,9.467605590820312,18.549999237060547,18.549999237060547,18.450000762939453,18.450000762939453,900
2001-04-25,9.314497947692871,18.25,18.299999237060547,18.25,18.299999237060547,400
2001-04-26,9.186899185180664,18.0,18.0,17.799999237060547,18.0,8900
2001-04-27,8.982746124267578,17.600000381469727,17.860000610351562,17.600000381469727,17.799999237060547,4700
2001-04-30,8.931706428527832,17.5,17.6200008392334,17.0,17.600000381469727,36100
2001-05-01,8.931706428527832,17.5,17.5,17.299999237060547,17.299999237060547,18900
2001-05-02,8.97253704071045,17.579999923706055,17.579999923706055,17.5,17.5,34700
2001-05-03,8.993083953857422,17.510000228881836,17.700000762939453,17.510000228881836,17.600000381469727,500
2001-05-04,9.039304733276367,17.600000381469727,17.600000381469727,17.5,17.5,1000
2001-05-07,9.177980422973633,17.8700008392334,17.8700008392334,17.610000610351562,17.610000610351562,9100
2001-05-08,9.219067573547363,17.950000762939453,17.989999771118164,17.8700008392334,17.899999618530273,1000
2001-05-09,9.147160530090332,17.809999465942383,18.0,17.799999237060547,17.799999237060547,5900
2001-05-10,9.142024993896484,17.799999237060547,17.799999237060547,17.600000381469727,17.600000381469727,500
2001-05-11,9.244745254516602,18.0,18.0,17.899999618530273,17.899999618530273,3700
2001-05-14,9.142024993896484,17.799999237060547,17.989999771118164,17.700000762939453,17.899999618530273,11500
2001-05-15,9.296104431152344,18.100000381469727,18.25,17.899999618530273,17.899999618530273,10100
2001-05-16,9.296104431152344,18.100000381469727,18.100000381469727,18.100000381469727,18.100000381469727,17600
2001-05-17,9.244745254516602,18.0,18.0,18.0,18.0,300
2001-05-18,9.244745254516602,18.0,18.0,18.0,18.0,0
2001-05-21,9.224204063415527,17.959999084472656,17.959999084472656,17.950000762939453,17.950000762939453,1000
