Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AEP,AEP,AEP,AEP,AEP,AEP
Date,,,,,,
1962-01-02,0.8809420466423035,34.3125,35.125,34.3125,34.3125,5800
1962-01-03,0.8793379664421082,34.25,34.75,34.0625,34.3125,10200
1962-01-04,0.8665006160736084,33.75,34.3125,33.75,34.25,8800
1962-01-05,0.8472446203231812,33.0,33.625,32.625,33.625,11400
1962-01-08,0.8408260941505432,32.75,33.1875,32.0,33.0,17200
1962-01-09,0.8344083428382874,32.5,32.8125,32.375,32.75,8800
1962-01-10,0.8472446203231812,33.0,33.0,32.625,32.625,7400
1962-01-11,0.8456408381462097,32.9375,33.0,32.625,33.0,15400
1962-01-12,0.8584773540496826,33.4375,33.4375,33.0,33.0,7800
1962-01-15,0.8472446203231812,33.0,33.25,33.0,33.25,11000
1962-01-16,0.8440360426902771,32.875,33.0,32.75,33.0,7400
1962-01-17,0.8456408381462097,32.9375,33.3125,32.9375,32.9375,8000
1962-01-18,0.8504546880722046,33.125,33.375,32.875,32.9375,14000
1962-01-19,0.8504546880722046,33.125,33.375,33.0625,33.125,6800
1962-01-22,0.8440360426902771,32.875,33.25,32.8125,33.125,7600
1962-01-23,0.8440360426902771,32.875,33.0625,32.8125,32.875,9200
1962-01-24,0.8456408381462097,32.9375,32.9375,32.6875,32.875,6600
1962-01-25,0.8440360426902771,32.875,33.0,32.75,32.9375,7000
1962-01-26,0.8328033089637756,32.4375,33.125,32.4375,32.875,9000
1962-01-29,0.8295943140983582,32.3125,32.375,32.0625,32.375,5400
1962-01-30,0.8328033089637756,32.4375,32.4375,32.1875,32.3125,7000
1962-01-31,0.8344083428382874,32.5,32.5,32.375,32.4375,8400
1962-02-01,0.8376176357269287,32.625,32.6875,32.375,32.5,10600
1962-02-02,0.8344083428382874,32.5,32.6875,32.4375,32.625,13200
1962-02-05,0.8360123038291931,32.5625,32.75,32.375,32.5,16200
1962-02-06,0.8440360426902771,32.875,32.875,32.5,32.5625,13000
1962-02-07,0.863291323184967,33.625,33.75,33.3125,33.3125,9400
1962-02-08,0.8825470209121704,34.375,34.5,33.875,33.875,9800
1962-02-09,0.8857564330101013,34.5,34.5,34.125,34.375,5800
1962-02-12,0.8825470209121704,34.375,34.4375,34.3125,34.4375,1400
1962-02-13,0.8825470209121704,34.375,34.5625,34.125,34.375,12200
1962-02-14,0.8857564330101013,34.5,34.625,34.125,34.375,10000
1962-02-15,0.9050121307373047,35.25,35.3125,34.625,34.625,8000
1962-02-16,0.8969891667366028,34.9375,35.25,34.9375,35.25,5400
1962-02-19,0.8905697464942932,34.6875,35.0,34.6875,34.9375,6000
1962-02-20,0.8969891667366028,34.9375,34.9375,34.375,34.6875,7800
1962-02-21,0.892174482345581,34.75,35.0625,34.75,34.9375,2800
1962-02-23,0.8937798142433167,34.8125,34.9375,34.5625,34.75,9400
1962-02-26,0.8905697464942932,34.6875,34.75,34.5625,34.75,3400
1962-02-27,0.8889650702476501,34.625,34.8125,34.625,34.6875,4600
1962-02-28,0.8793379664421082,34.25,34.6875,34.25,34.625,7000
1962-03-01,0.8857564330101013,34.5,34.5,34.3125,34.3125,4200
1962-03-02,0.8953844308853149,34.875,34.875,34.5,34.5,3600
1962-03-05,0.8857564330101013,34.5,35.0625,34.375,34.875,8600
1962-03-06,0.8809420466423035,34.3125,34.4375,34.1875,34.4375,4000
1962-03-07,0.8841517567634583,34.4375,34.4375,34.125,34.3125,7400
1962-03-08,0.9130343198776245,35.5625,35.5625,34.5,34.5,14400
1962-03-09,0.9178488254547119,35.75,35.75,35.375,35.5625,5600
1962-03-12,0.9114306569099426,35.5,35.75,35.5,35.75,4800
1962-03-13,0.9162448048591614,35.6875,35.6875,35.375,35.5,5000
1962-03-14,0.9194532632827759,35.8125,36.0,35.625,35.6875,5800
1962-03-15,0.9130343198776245,35.5625,35.875,35.5625,35.8125,3600
1962-03-16,0.9162448048591614,35.6875,35.6875,35.375,35.5625,4200
1962-03-19,0.9242669343948364,36.0,36.125,35.5,35.6875,4000
1962-03-20,0.9242669343948364,36.0,36.125,35.875,36.0,5600
1962-03-21,0.9242669343948364,36.0,36.25,36.0,36.0,7000
1962-03-22,0.9242669343948364,36.0,36.0625,36.0,36.0,2000
1962-03-23,0.9242669343948364,36.0,36.25,35.875,36.0,4400
1962-03-26,0.9130343198776245,35.5625,35.9375,35.5625,35.9375,3000
1962-03-27,0.9050121307373047,35.25,35.75,35.25,35.5625,4600
1962-03-28,0.9066164493560791,35.3125,35.3125,35.0,35.25,3400
1962-03-29,0.9050121307373047,35.25,35.5625,35.25,35.3125,8000
1962-03-30,0.9162448048591614,35.6875,35.6875,35.5,35.5,9800
1962-04-02,0.9162448048591614,35.6875,35.6875,35.375,35.6875,16800
1962-04-03,0.9114306569099426,35.5,35.625,35.4375,35.625,8200
1962-04-04,0.9098250269889832,35.4375,35.5,35.3125,35.5,3200
1962-04-05,0.9162448048591614,35.6875,35.6875,35.1875,35.4375,8800
1962-04-06,0.9146386981010437,35.625,35.9375,35.4375,35.6875,5000
1962-04-09,0.9066164493560791,35.3125,35.9375,35.3125,35.625,7200
1962-04-10,0.9114306569099426,35.5,35.6875,35.3125,35.3125,8600
1962-04-11,0.9066164493560791,35.3125,35.6875,35.3125,35.5,5600
1962-04-12,0.9098250269889832,35.4375,35.6875,35.3125,35.3125,5800
1962-04-13,0.9050121307373047,35.25,35.5,35.1875,35.4375,10600
1962-04-16,0.8985937833786011,35.0,35.3125,35.0,35.25,4000
1962-04-17,0.8969891667366028,34.9375,35.1875,34.875,35.0,6400
1962-04-18,0.8953844308853149,34.875,35.0,34.75,34.9375,3800
1962-04-19,0.9050121307373047,35.25,35.25,34.9375,34.9375,6000
1962-04-23,0.9050121307373047,35.25,35.625,35.25,35.25,4800
1962-04-24,0.9098250269889832,35.4375,35.4375,35.25,35.25,2400
1962-04-25,0.9134368896484375,35.578125,35.75,35.4375,35.4375,4600
1962-04-26,0.9134368896484375,35.578125,35.75,35.578125,35.578125,3200
1962-04-27,0.8985937833786011,35.0,35.6875,35.0,35.578125,9200
1962-04-30,0.8600818514823914,33.5,34.8125,33.375,34.8125,8200
1962-05-01,0.863291323184967,33.625,33.625,32.5,33.5,8000
1962-05-02,0.8472446203231812,33.0,34.0,33.0,33.625,8200
1962-05-03,0.8344083428382874,32.5,33.25,32.5,33.0,13800
1962-05-04,0.8392221331596375,32.6875,32.875,32.5,32.5,8800
1962-05-07,0.8302164077758789,32.3125,32.625,32.3125,32.625,12400
1962-05-08,0.8302164077758789,32.3125,32.4375,32.25,32.3125,8800
1962-05-09,0.8286110162734985,32.25,32.3125,31.8125,32.3125,11600
