Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AJG,AJG,AJG,AJG,AJG,AJG
Date,,,,,,
1984-06-20,0.6241741180419922,1.84375,1.875,1.84375,1.84375,2004000
1984-06-21,0.6030155420303345,1.78125,1.84375,1.78125,1.84375,626400
1984-06-22,0.6030155420303345,1.78125,1.8125,1.78125,1.78125,229600
1984-06-25,0.5924360752105713,1.75,1.8125,1.75,1.78125,102400
1984-06-26,0.5818570852279663,1.71875,1.75,1.71875,1.75,129600
1984-06-27,0.5924360752105713,1.75,1.78125,1.75,1.75,213600
1984-06-28,0.5924360752105713,1.75,1.78125,1.75,1.75,212000
1984-06-29,0.6135947108268738,1.8125,1.875,1.8125,1.8125,208000
1984-07-02,0.6135947108268738,1.8125,1.875,1.8125,1.8125,144800
1984-07-03,0.6135947108268738,1.8125,1.875,1.8125,1.8125,48000
1984-07-05,0.6241741180419922,1.84375,1.90625,1.84375,1.84375,108000
1984-07-06,0.6241741180419922,1.84375,1.90625,1.84375,1.84375,2400
1984-07-09,0.6241741180419922,1.84375,1.875,1.84375,1.84375,76800
1984-07-10,0.6241741180419922,1.84375,1.90625,1.84375,1.84375,89600
1984-07-11,0.6241741180419922,1.84375,1.90625,1.84375,1.84375,82400
1984-07-12,0.6135947108268738,1.8125,1.875,1.8125,1.84375,58400
1984-07-13,0.6135947108268738,1.8125,1.875,1.8125,1.8125,323200
1984-07-16,0.6135947108268738,1.8125,1.875,1.8125,1.8125,32000
1984-07-17,0.6135947108268738,1.8125,1.875,1.8125,1.8125,334400
1984-07-18,0.6135947108268738,1.8125,1.875,1.8125,1.8125,420800
1984-07-19,0.6135947108268738,1.8125,1.875,1.8125,1.8125,404000
1984-07-20,0.6135947108268738,1.8125,1.875,1.8125,1.8125,53600
1984-07-23,0.6241741180419922,1.84375,1.90625,1.84375,1.84375,153600
1984-07-24,0.6347530484199524,1.875,1.96875,1.875,1.875,82400
1984-07-25,0.6347530484199524,1.875,1.96875,1.875,1.875,2400
1984-07-26,0.6664911508560181,1.96875,2.03125,1.96875,1.96875,147200
1984-07-27,0.6876489520072937,2.03125,2.125,2.03125,2.03125,128000
1984-07-30,0.6876489520072937,2.03125,2.125,2.03125,2.03125,153600
1984-07-31,0.6876489520072937,2.03125,2.125,2.03125,2.03125,131200
1984-08-01,0.6876489520072937,2.03125,2.125,2.03125,2.03125,124000
1984-08-02,0.7088077664375305,2.09375,2.15625,2.09375,2.09375,103200
1984-08-03,0.7193871140480042,2.125,2.21875,2.125,2.125,72000
1984-08-06,0.7299662232398987,2.15625,2.25,2.15625,2.15625,52000
1984-08-07,0.7299662232398987,2.15625,2.25,2.15625,2.15625,24000
1984-08-08,0.7511247396469116,2.21875,2.28125,2.21875,2.21875,19200
1984-08-09,0.7511247396469116,2.21875,2.28125,2.21875,2.21875,40000
1984-08-10,0.7617037296295166,2.25,2.3125,2.25,2.25,19200
1984-08-13,0.7617037296295166,2.25,2.3125,2.25,2.25,160800
1984-08-14,0.7617037296295166,2.25,2.3125,2.25,2.25,80000
1984-08-15,0.7617037296295166,2.25,2.3125,2.25,2.25,75200
1984-08-16,0.772283136844635,2.28125,2.375,2.28125,2.28125,68000
1984-08-17,0.7934417128562927,2.34375,2.40625,2.34375,2.34375,166400
1984-08-20,0.8040207624435425,2.375,2.4375,2.375,2.375,40000
1984-08-21,0.814599871635437,2.40625,2.4375,2.40625,2.40625,52800
1984-08-22,0.8251787424087524,2.4375,2.5,2.4375,2.4375,223200
1984-08-23,0.8357584476470947,2.46875,2.53125,2.46875,2.46875,57600
1984-08-24,0.8357584476470947,2.46875,2.5625,2.46875,2.46875,800
1984-08-27,0.8357584476470947,2.46875,2.46875,2.46875,2.46875,0
1984-08-28,0.8463373780250549,2.5,2.5625,2.5,2.5,9600
1984-08-29,0.888654351234436,2.625,2.6875,2.625,2.625,477600
1984-08-30,0.8992341160774231,2.65625,2.71875,2.65625,2.65625,12800
1984-08-31,0.8992341160774231,2.65625,2.75,2.65625,2.65625,3200
1984-09-04,0.8992341160774231,2.65625,2.75,2.65625,2.65625,68800
1984-09-05,0.8992341160774231,2.65625,2.71875,2.65625,2.65625,31200
1984-09-06,0.8992341160774231,2.65625,2.75,2.65625,2.65625,729600
1984-09-07,0.9098127484321594,2.6875,2.75,2.6875,2.6875,170400
1984-09-10,0.9098127484321594,2.6875,2.75,2.6875,2.6875,107200
1984-09-11,0.9098127484321594,2.6875,2.75,2.6875,2.6875,4800
1984-09-12,0.9098127484321594,2.6875,2.75,2.6875,2.6875,10400
1984-09-13,0.9098127484321594,2.6875,2.75,2.6875,2.6875,31200
1984-09-14,0.9098127484321594,2.6875,2.75,2.6875,2.6875,12000
1984-09-17,0.9203922152519226,2.71875,2.78125,2.71875,2.71875,25600
1984-09-18,0.9203922152519226,2.71875,2.8125,2.71875,2.71875,108800
1984-09-19,0.9203922152519226,2.71875,2.8125,2.71875,2.71875,40000
1984-09-20,0.9203922152519226,2.71875,2.78125,2.71875,2.71875,81600
1984-09-21,1.0261839628219604,3.03125,3.09375,3.03125,3.03125,404800
1984-09-24,1.0261839628219604,3.03125,3.09375,3.03125,3.03125,104000
1984-09-25,1.0261839628219604,3.03125,3.09375,3.03125,3.03125,60000
1984-09-26,1.0261839628219604,3.03125,3.09375,3.03125,3.03125,41600
1984-09-27,1.0261839628219604,3.03125,3.09375,3.03125,3.03125,12000
1984-09-28,1.0261839628219604,3.03125,3.09375,3.03125,3.03125,29600
1984-10-01,1.0261839628219604,3.03125,3.09375,3.03125,3.03125,187200
1984-10-02,1.0367640256881714,3.0625,3.125,3.0625,3.0625,16800
1984-10-03,1.0367640256881714,3.0625,3.125,3.0625,3.0625,10400
1984-10-04,1.0367640256881714,3.0625,3.125,3.0625,3.0625,200000
1984-10-05,1.0367640256881714,3.0625,3.0625,3.0625,3.0625,0
1984-10-08,1.0367640256881714,3.0625,3.0625,3.0625,3.0625,0
1984-10-09,1.0367640256881714,3.0625,3.125,3.0625,3.0625,800
1984-10-10,1.0367640256881714,3.0625,3.09375,3.0625,3.0625,5600
1984-10-11,1.0367640256881714,3.0625,3.09375,3.0625,3.0625,18400
1984-10-12,1.0367640256881714,3.0625,3.09375,3.0625,3.0625,2400
1984-10-15,1.0473426580429077,3.09375,3.15625,3.09375,3.09375,10400
1984-10-16,1.0473426580429077,3.09375,3.15625,3.09375,3.09375,800
1984-10-17,1.0579220056533813,3.125,3.1875,3.125,3.125,32000
1984-10-18,1.0579220056533813,3.125,3.1875,3.125,3.125,14400
1984-10-19,1.0579220056533813,3.125,3.125,3.125,3.125,0
1984-10-22,1.0579220056533813,3.125,3.1875,3.125,3.125,3200
1984-10-23,1.0685011148452759,3.15625,3.21875,3.15625,3.15625,9600
1984-10-24,1.100238561630249,3.25,3.3125,3.25,3.25,336800
1984-10-25,1.131976842880249,3.34375,3.40625,3.34375,3.34375,363200
1984-10-26,1.100238561630249,3.25,3.3125,3.25,3.3125,142400
1984-10-29,1.0896592140197754,3.21875,3.28125,3.21875,3.25,20000
1984-10-30,1.0896592140197754,3.21875,3.3125,3.21875,3.21875,60800
1984-10-31,1.100238561630249,3.25,3.3125,3.25,3.25,235200
1984-11-01,1.11081862449646,3.28125,3.34375,3.28125,3.28125,4000
1984-11-02,1.11081862449646,3.28125,3.34375,3.28125,3.28125,13600
1984-11-05,1.11081862449646,3.28125,3.34375,3.28125,3.28125,4000
1984-11-06,1.11081862449646,3.28125,3.34375,3.28125,3.28125,4000
1984-11-07,1.121396541595459,3.3125,3.34375,3.3125,3.3125,28000
1984-11-08,1.1425561904907227,3.375,3.4375,3.375,3.375,448800
1984-11-09,1.131976842880249,3.34375,3.40625,3.34375,3.375,28000
1984-11-12,1.131976842880249,3.34375,3.40625,3.34375,3.34375,336000
1984-11-13,1.131976842880249,3.34375,3.40625,3.34375,3.34375,443200
1984-11-14,1.1425561904907227,3.375,3.40625,3.375,3.375,132000
1984-11-15,1.1425561904907227,3.375,3.40625,3.375,3.375,10400
1984-11-16,1.1425561904907227,3.375,3.40625,3.375,3.375,12800
1984-11-19,1.1425561904907227,3.375,3.4375,3.375,3.375,99200
1984-11-20,1.153134822845459,3.40625,3.46875,3.40625,3.40625,130400
1984-11-21,1.153134822845459,3.40625,3.46875,3.40625,3.40625,15200
1984-11-23,1.153134822845459,3.40625,3.46875,3.40625,3.40625,3200
1984-11-26,1.153134822845459,3.40625,3.46875,3.40625,3.40625,98400
1984-11-27,1.153134822845459,3.40625,3.46875,3.40625,3.40625,16000
1984-11-28,1.153134822845459,3.40625,3.46875,3.40625,3.40625,13600
1984-11-29,1.153134822845459,3.40625,3.46875,3.40625,3.40625,122400
1984-11-30,1.153134822845459,3.40625,3.46875,3.40625,3.40625,40000
1984-12-03,1.153134822845459,3.40625,3.4375,3.40625,3.40625,800
1984-12-04,1.153134822845459,3.40625,3.4375,3.40625,3.40625,20000
1984-12-05,1.153134822845459,3.40625,3.4375,3.40625,3.40625,76800
1984-12-06,1.153134822845459,3.40625,3.4375,3.40625,3.40625,80000
1984-12-07,1.153134822845459,3.40625,3.4375,3.40625,3.40625,4000
1984-12-10,1.153134822845459,3.40625,3.4375,3.40625,3.40625,16000
1984-12-11,1.153134822845459,3.40625,3.46875,3.40625,3.40625,659200
1984-12-12,1.153134822845459,3.40625,3.46875,3.40625,3.40625,3200
1984-12-13,1.153134822845459,3.40625,3.46875,3.40625,3.40625,12000
1984-12-14,1.153134822845459,3.40625,3.46875,3.40625,3.40625,4000
1984-12-17,1.153134822845459,3.40625,3.46875,3.40625,3.40625,800
1984-12-18,1.1742933988571167,3.46875,3.53125,3.46875,3.46875,31200
1984-12-19,1.1742933988571167,3.46875,3.5625,3.46875,3.46875,12800
