Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMT,AMT,AMT,AMT,AMT,AMT
Date,,,,,,
1998-02-27,12.45960521697998,17.375,18.0,17.375,17.375,50000
1998-03-02,12.369967460632324,17.25,17.25,17.0,17.25,75000
1998-03-03,12.280327796936035,17.125,17.125,16.75,17.125,35000
1998-03-04,11.294318199157715,15.75,15.75,15.5,15.75,60000
1998-03-05,11.563228607177734,16.125,16.125,16.125,16.125,400
1998-03-06,11.563228607177734,16.125,16.375,16.125,16.125,3600
1998-03-09,11.383955001831055,15.875,16.5,15.875,16.125,3200
1998-03-10,11.652870178222656,16.25,16.875,15.875,15.875,56800
1998-03-11,11.652870178222656,16.25,16.5,16.125,16.25,10400
1998-03-12,11.742505073547363,16.375,16.375,16.125,16.25,3800
1998-03-13,11.83214282989502,16.5,16.5,16.5,16.5,1000
1998-03-16,11.563228607177734,16.125,16.5,16.125,16.5,7700
1998-03-17,11.383955001831055,15.875,16.125,15.75,16.125,28000
1998-03-18,11.563228607177734,16.125,16.125,15.75,15.875,45700
1998-03-19,12.280327796936035,17.125,17.375,16.0,16.125,383600
1998-03-20,12.728513717651367,17.75,17.75,17.25,17.25,275600
1998-03-23,13.535256385803223,18.875,19.0,17.375,17.75,398600
1998-03-24,14.162718772888184,19.75,19.875,18.875,18.875,261800
1998-03-25,14.25235366821289,19.875,20.125,19.5,19.75,135600
1998-03-26,14.073076248168945,19.625,19.875,19.25,19.875,26300
1998-03-27,13.804169654846191,19.25,19.75,18.375,19.625,62200
1998-03-30,14.25235366821289,19.875,19.875,19.25,19.25,49500
1998-03-31,14.43163013458252,20.125,20.25,19.875,19.875,79000
1998-04-01,14.700538635253906,20.5,20.625,20.0,20.125,150100
1998-04-02,16.672569274902344,23.25,23.375,21.75,21.75,140500
1998-04-03,17.748210906982422,24.75,26.125,21.75,23.25,458700
1998-04-06,17.21039390563965,24.0,26.0,23.0,24.75,105300
1998-04-07,15.865826606750488,22.125,24.0,22.125,24.0,152800
1998-04-08,16.134742736816406,22.5,23.0,21.0,22.125,45100
1998-04-09,16.493289947509766,23.0,23.0,22.25,22.5,151400
1998-04-13,16.224376678466797,22.625,23.25,22.375,23.0,85900
1998-04-14,16.31401824951172,22.75,23.0,22.5,22.625,322900
1998-04-15,15.596917152404785,21.75,22.875,21.5,22.75,23100
1998-04-16,15.238363265991211,21.25,21.75,20.875,21.75,55400
1998-04-17,15.507282257080078,21.625,21.625,21.0,21.25,15100
1998-04-20,15.865826606750488,22.125,22.125,21.25,21.625,92900
1998-04-21,15.865826606750488,22.125,22.125,21.75,22.125,23100
1998-04-22,16.493289947509766,23.0,23.625,22.125,22.125,60900
1998-04-23,16.851835250854492,23.5,23.5,23.0,23.0,242300
1998-04-24,15.776187896728516,22.0,23.625,22.0,23.5,100900
1998-04-27,14.96945858001709,20.875,22.5,19.875,22.0,52200
1998-04-28,15.417641639709473,21.5,21.875,20.75,20.875,29100
1998-04-29,16.134742736816406,22.5,22.5,21.0,21.5,101300
1998-04-30,16.493289947509766,23.0,23.25,22.375,22.5,116300
1998-05-01,15.865826606750488,22.125,23.125,22.0,23.0,61000
1998-05-04,15.507282257080078,21.625,22.25,21.25,22.125,58400
1998-05-05,15.238363265991211,21.25,21.75,20.75,21.625,44000
1998-05-06,15.776187896728516,22.0,22.0,20.875,21.25,47300
1998-05-07,15.3280029296875,21.375,22.125,21.375,22.0,230900
1998-05-08,16.224376678466797,22.625,22.75,21.75,21.75,320700
1998-05-11,16.045101165771484,22.375,22.75,22.25,22.625,375200
1998-05-12,15.776187896728516,22.0,22.625,22.0,22.375,333300
1998-05-13,16.045101165771484,22.375,22.625,22.125,22.125,88100
1998-05-14,16.134742736816406,22.5,22.5,22.0,22.375,35600
1998-05-15,15.776187896728516,22.0,22.5,21.5,22.5,69200
1998-05-18,15.417641639709473,21.5,22.125,21.0,22.0,53200
1998-05-19,15.776187896728516,22.0,22.0,21.5,21.5,21000
1998-05-20,15.059091567993164,21.0,22.0,21.0,22.0,14100
1998-05-21,15.148730278015137,21.125,21.125,19.5,21.0,116400
1998-05-22,14.790182113647461,20.625,20.75,20.25,20.75,45100
1998-05-26,13.983442306518555,19.5,21.0,19.125,20.625,119500
1998-05-27,13.804169654846191,19.25,19.5,18.75,19.5,91100
1998-05-28,14.700538635253906,20.5,20.5,18.75,19.25,163600
1998-05-29,16.134742736816406,22.5,22.5,20.5,20.5,121900
1998-06-01,15.865826606750488,22.125,22.5,22.0,22.5,258500
1998-06-02,16.045101165771484,22.375,22.5,22.125,22.125,123400
1998-06-03,14.879816055297852,20.75,22.5,20.75,22.375,180600
1998-06-04,14.879816055297852,20.75,21.0,20.0,20.75,263200
1998-06-05,16.403650283813477,22.875,23.0,21.0,21.0,290100
1998-06-08,16.493289947509766,23.0,23.625,22.5,23.25,2718000
1998-06-09,16.045101165771484,22.375,23.0,22.0,23.0,604900
1998-06-10,16.403650283813477,22.875,23.125,22.5,22.5,149300
1998-06-11,16.493289947509766,23.0,23.0625,22.5625,22.875,697400
1998-06-12,16.179553985595703,22.5625,23.0,22.375,23.0,782000
1998-06-15,15.686549186706543,21.875,22.9375,21.875,22.9375,165900
1998-06-16,15.596917152404785,21.75,22.0,21.75,21.9375,95000
1998-06-17,15.731376647949219,21.9375,21.9375,21.5,21.9375,57400
1998-06-18,15.417641639709473,21.5,21.9375,21.375,21.9375,588700
1998-06-19,15.19354248046875,21.1875,21.375,21.0625,21.125,698100
1998-06-22,15.148730278015137,21.125,21.375,20.625,21.0,159500
1998-06-23,16.134742736816406,22.5,22.75,21.625,21.875,234000
1998-06-24,16.493289947509766,23.0,23.0625,22.5,22.5,275900
1998-06-25,16.493289947509766,23.0,23.625,22.6875,23.0,223500
1998-06-26,16.7622013092041,23.375,23.625,23.125,23.25,115800
1998-06-29,16.403650283813477,22.875,23.1875,21.625,23.125,188900
1998-06-30,17.88266944885254,24.9375,24.9375,22.6875,22.9375,566300
1998-07-01,17.70339012145996,24.6875,25.625,24.375,25.0,449600
1998-07-02,17.21039390563965,24.0,24.6875,24.0,24.0,5141900
1998-07-06,18.106765747070312,25.25,25.3125,24.1875,24.25,991100
1998-07-07,18.554954528808594,25.875,27.0,25.625,26.0625,1096000
1998-07-08,19.00313949584961,26.5,27.25,26.125,26.125,431200
1998-07-09,18.59976577758789,25.9375,27.125,25.625,26.5,659300
1998-07-10,18.823863983154297,26.25,26.625,25.75,26.125,334700
1998-07-13,19.540966033935547,27.25,27.3125,26.6875,26.9375,429600
1998-07-14,18.734230041503906,26.125,27.375,26.0,27.0,509200
1998-07-15,19.31686782836914,26.9375,27.0,26.25,26.625,225800
1998-07-16,19.31686782836914,26.9375,27.375,26.5,27.375,233300
1998-07-17,19.361698150634766,27.0,27.4375,26.375,26.875,479300
1998-07-20,19.406503677368164,27.0625,27.4375,26.5625,26.75,244800
1998-07-21,19.675416946411133,27.4375,28.125,27.25,27.5625,575300
1998-07-22,19.899517059326172,27.75,28.125,27.5,27.8125,630200
1998-07-23,20.078786849975586,28.0,28.5,27.75,28.0,496100
