Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ARE,ARE,ARE,ARE,ARE,ARE
Date,,,,,,
1997-05-28,7.081457614898682,21.0,21.375,20.625,20.625,1862700
1997-05-29,7.207912921905518,21.375,21.375,21.0,21.0,296800
1997-05-30,7.418673038482666,22.0,22.125,21.125,21.125,220400
1997-06-02,7.418673038482666,22.0,22.25,21.5,22.125,66800
1997-06-03,7.460824966430664,22.125,22.125,21.625,21.75,180000
1997-06-04,7.376521587371826,21.875,22.25,21.75,22.25,99900
1997-06-05,7.376521587371826,21.875,21.875,21.25,21.5,291600
1997-06-06,7.250066757202148,21.5,21.5,21.5,21.5,0
1997-06-09,7.250066757202148,21.5,21.5,21.5,21.5,0
1997-06-10,7.334372043609619,21.75,21.75,21.5,21.5,57600
1997-06-11,7.165761947631836,21.25,21.625,21.125,21.375,146600
1997-06-12,7.207912921905518,21.375,21.625,21.125,21.25,73300
1997-06-13,7.165761947631836,21.25,21.375,21.25,21.25,134200
1997-06-16,7.292215347290039,21.625,21.625,21.25,21.25,73200
1997-06-17,7.207912921905518,21.375,21.5,21.375,21.375,53300
1997-06-18,7.250066757202148,21.5,21.625,21.375,21.5,54100
1997-06-19,7.250066757202148,21.5,21.625,21.5,21.5,44100
1997-06-20,7.292215347290039,21.625,21.75,21.5,21.5,37800
1997-06-23,7.207912921905518,21.375,21.875,21.375,21.625,80800
1997-06-24,7.250066757202148,21.5,21.5,21.25,21.5,116000
1997-06-25,7.292215347290039,21.625,21.625,21.25,21.5,127400
1997-06-26,7.292215347290039,21.625,21.75,21.5,21.625,52100
1997-06-27,7.334372043609619,21.75,21.875,21.375,21.5,44500
1997-06-30,7.376521587371826,21.875,21.875,21.375,21.75,60300
1997-07-01,7.587275981903076,22.5,22.625,21.625,21.625,121300
1997-07-02,7.587275981903076,22.5,22.5,22.125,22.5,77300
1997-07-03,7.67158317565918,22.75,22.75,22.375,22.625,46000
1997-07-07,7.67158317565918,22.75,23.0,22.625,22.75,122200
1997-07-08,7.67158317565918,22.75,22.75,22.375,22.75,50400
1997-07-09,7.67158317565918,22.75,22.875,22.5,22.75,97000
1997-07-10,7.67158317565918,22.75,22.875,22.625,22.75,99000
1997-07-11,7.7137322425842285,22.875,22.875,22.25,22.75,136100
1997-07-14,7.924491882324219,23.5,23.875,22.875,22.875,106600
1997-07-15,8.008790016174316,23.75,24.0,23.25,23.25,85400
1997-07-16,8.093099594116211,24.0,24.25,23.75,24.0,68800
1997-07-17,8.050947189331055,23.875,24.125,23.625,23.75,53000
1997-07-18,8.050947189331055,23.875,23.875,23.75,23.75,126500
