Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AVB,AVB,AVB,AVB,AVB,AVB
Date,,,,,,
1994-03-11,6.574440002441406,20.875,20.875,20.625,20.625,2359000
1994-03-14,6.4957051277160645,20.625,20.75,20.625,20.75,536500
1994-03-15,6.4957051277160645,20.625,20.75,20.625,20.625,215700
1994-03-16,6.731910228729248,21.375,21.375,20.625,20.625,338600
1994-03-17,6.653172969818115,21.125,21.375,20.875,21.375,195900
1994-03-18,6.613806247711182,21.0,21.125,20.75,21.125,285700
1994-03-21,6.574440002441406,20.875,21.0,20.875,21.0,38900
1994-03-22,6.535070896148682,20.75,20.875,20.75,20.875,78400
1994-03-23,6.692541599273682,21.25,21.5,20.75,20.75,209200
1994-03-24,6.613806247711182,21.0,21.125,21.0,21.125,155000
1994-03-25,6.613806247711182,21.0,21.125,21.0,21.0,91500
1994-03-28,6.653172969818115,21.125,21.125,20.875,21.0,111200
1994-03-29,6.4957051277160645,20.625,21.125,20.625,21.125,101200
1994-03-30,6.45633602142334,20.5,20.75,20.375,20.625,105000
1994-03-31,6.4957051277160645,20.625,20.625,20.5,20.5,108300
1994-04-04,6.338237285614014,20.125,20.375,20.0,20.375,42300
1994-04-05,6.535070896148682,20.75,20.875,20.25,20.25,55600
1994-04-06,6.574440002441406,20.875,20.875,20.75,20.75,31800
1994-04-07,6.535070896148682,20.75,21.0,20.75,20.875,52000
1994-04-08,6.45633602142334,20.5,20.75,20.5,20.75,24000
1994-04-11,6.416966915130615,20.375,20.625,20.375,20.5,44400
1994-04-12,6.45633602142334,20.5,20.5,20.25,20.375,15100
1994-04-13,6.416966915130615,20.375,20.5,20.375,20.5,30500
1994-04-14,6.416966915130615,20.375,20.5,20.375,20.375,38800
1994-04-15,6.338237285614014,20.125,20.5,20.125,20.375,12200
1994-04-18,6.338237285614014,20.125,20.375,20.125,20.125,39800
1994-04-19,6.377598762512207,20.25,20.375,20.25,20.25,24500
1994-04-20,6.377598762512207,20.25,20.25,20.125,20.25,72000
1994-04-21,6.377598762512207,20.25,20.375,20.25,20.25,15000
1994-04-22,6.45633602142334,20.5,20.5,20.125,20.25,20700
1994-04-25,6.377598762512207,20.25,20.5,20.25,20.5,27300
1994-04-26,6.45633602142334,20.5,20.5,20.375,20.375,64000
1994-04-28,6.4957051277160645,20.625,20.75,20.5,20.5,27100
1994-04-29,6.45633602142334,20.5,20.625,20.5,20.625,5500
1994-05-02,6.4957051277160645,20.625,20.625,20.5,20.5,11700
1994-05-03,6.45633602142334,20.5,20.625,20.375,20.625,29000
1994-05-04,6.377598762512207,20.25,20.5,20.25,20.5,39600
1994-05-05,6.416966915130615,20.375,20.375,20.125,20.25,7600
1994-05-06,6.338237285614014,20.125,20.375,20.0,20.375,13600
1994-05-09,6.377598762512207,20.25,20.25,20.125,20.125,3700
1994-05-10,6.377598762512207,20.25,20.25,20.125,20.25,75100
1994-05-11,6.377598762512207,20.25,20.375,20.125,20.25,81400
1994-05-12,6.377598762512207,20.25,20.375,20.25,20.25,7100
1994-05-13,6.377598762512207,20.25,20.375,20.25,20.25,14500
1994-05-16,6.377598762512207,20.25,20.375,20.125,20.25,12600
1994-05-17,6.338237285614014,20.125,20.375,20.125,20.25,13400
1994-05-18,6.416966915130615,20.375,20.375,20.125,20.125,6700
1994-05-19,6.45633602142334,20.5,20.5,20.375,20.375,36500
1994-05-20,6.45633602142334,20.5,20.75,20.5,20.5,26800
1994-05-23,6.613806247711182,21.0,21.0,20.625,20.625,36200
1994-05-24,6.731910228729248,21.375,21.375,20.875,21.0,116200
1994-05-25,6.8500142097473145,21.75,21.875,21.625,21.625,283300
1994-05-26,6.771278381347656,21.5,21.625,21.5,21.625,50200
1994-05-27,6.731910228729248,21.375,21.625,21.375,21.5,10000
1994-05-31,6.771278381347656,21.5,21.5,21.375,21.375,41400
1994-06-01,6.8500142097473145,21.75,21.875,21.5,21.5,166300
1994-06-02,6.8500142097473145,21.75,21.875,21.75,21.75,243600
1994-06-03,6.8500142097473145,21.75,21.875,21.75,21.75,42400
1994-06-06,7.125590801239014,22.625,22.75,21.875,21.875,87200
1994-06-07,6.889383316040039,21.875,22.625,21.875,22.625,19700
1994-06-08,6.889383316040039,21.875,22.125,21.75,21.875,16100
1994-06-09,6.92874813079834,22.0,22.0,21.875,21.875,25000
1994-06-10,6.92874813079834,22.0,22.125,22.0,22.0,23900
1994-06-13,6.92874813079834,22.0,22.0,21.875,22.0,72800
1994-06-14,6.968117713928223,22.125,22.25,22.0,22.0,38700
1994-06-15,6.92874813079834,22.0,22.25,21.75,22.125,74700
1994-06-16,6.889383316040039,21.875,22.0,21.75,22.0,15200
1994-06-17,6.731910228729248,21.375,21.875,21.375,21.875,12700
1994-06-20,6.613806247711182,21.0,21.375,20.75,21.375,31300
1994-06-21,6.613806247711182,21.0,21.0,20.75,21.0,9800
1994-06-22,6.692541599273682,21.25,21.25,21.0,21.0,13200
1994-06-23,6.535070896148682,20.75,21.25,20.75,21.25,35400
1994-06-24,6.731910228729248,21.375,21.375,20.75,20.75,19400
1994-06-27,6.535070896148682,20.75,21.25,20.75,21.25,58300
1994-06-28,6.4957051277160645,20.625,21.0,20.5,20.75,14500
1994-06-29,6.45633602142334,20.5,20.75,20.375,20.625,37700
1994-06-30,6.45633602142334,20.5,20.5,20.25,20.5,103200
1994-07-01,6.692541599273682,21.25,21.5,20.5,20.5,36800
1994-07-05,6.810643672943115,21.625,22.0,21.375,21.375,66800
1994-07-06,6.8500142097473145,21.75,21.875,21.5,21.625,26500
1994-07-07,6.771278381347656,21.5,21.625,21.375,21.625,53900
1994-07-08,6.810643672943115,21.625,21.625,21.5,21.5,13200
1994-07-11,6.8500142097473145,21.75,22.125,21.625,21.625,84800
1994-07-12,6.692541599273682,21.25,22.0,21.125,21.75,22700
1994-07-13,6.731910228729248,21.375,21.5,21.25,21.25,32700
1994-07-14,6.810643672943115,21.625,21.75,21.25,21.375,32400
1994-07-15,6.810643672943115,21.625,21.625,21.5,21.625,27200
1994-07-18,6.771278381347656,21.5,21.625,21.5,21.625,3200
1994-07-19,6.692541599273682,21.25,21.5,21.25,21.5,35000
1994-07-20,6.810643672943115,21.625,21.625,21.5,21.5,42900
1994-07-21,6.889383316040039,21.875,21.875,21.5,21.625,24800
1994-07-22,6.653172969818115,21.125,21.875,21.125,21.875,42000
1994-07-25,6.45633602142334,20.5,21.25,20.5,21.125,11200
1994-07-26,6.45633602142334,20.5,20.5,20.125,20.5,49300
1994-07-27,6.45633602142334,20.5,20.75,20.375,20.5,9100
1994-07-28,6.45633602142334,20.5,20.75,20.375,20.5,7200
1994-07-29,6.45633602142334,20.5,20.5,20.375,20.5,25200
1994-08-01,6.535070896148682,20.75,20.75,20.5,20.5,9000
1994-08-02,6.771278381347656,21.5,21.5,21.0,21.0,4700
1994-08-03,6.889383316040039,21.875,21.875,21.5,21.5,10600
1994-08-04,6.771278381347656,21.5,22.0,21.5,21.875,12600
1994-08-05,6.653172969818115,21.125,21.25,21.125,21.25,47100
1994-08-08,6.613806247711182,21.0,21.25,21.0,21.125,9100
1994-08-09,6.613806247711182,21.0,21.25,21.0,21.0,7300
1994-08-10,6.653172969818115,21.125,21.25,21.125,21.125,16300
1994-08-11,6.653172969818115,21.125,21.25,20.875,21.125,21500
1994-08-12,6.692541599273682,21.25,21.375,21.0,21.125,4200
1994-08-15,6.613806247711182,21.0,21.25,21.0,21.25,11600
1994-08-16,6.4957051277160645,20.625,21.0,20.625,21.0,29100
1994-08-17,6.45633602142334,20.5,20.75,20.5,20.625,33500
1994-08-18,6.377598762512207,20.25,20.625,20.125,20.5,9500
1994-08-19,6.4957051277160645,20.625,20.625,20.375,20.375,22200
1994-08-22,6.45633602142334,20.5,20.625,20.5,20.625,5600
1994-08-23,6.377598762512207,20.25,20.625,20.25,20.5,107800
1994-08-24,6.298863410949707,20.0,20.375,20.0,20.25,50500
1994-08-25,6.25949764251709,19.875,20.125,19.75,20.0,59300
1994-08-26,6.298863410949707,20.0,20.125,19.875,19.875,135800
1994-08-29,6.338237285614014,20.125,20.375,20.125,20.125,29100
1994-08-30,6.416966915130615,20.375,20.375,20.25,20.25,4400
1994-08-31,6.416966915130615,20.375,20.375,20.125,20.375,11800
1994-09-01,6.535070896148682,20.75,20.75,20.25,20.375,23300
1994-09-02,6.613806247711182,21.0,21.25,20.875,20.875,8600
1994-09-06,6.613806247711182,21.0,21.0,20.75,21.0,3000
1994-09-07,6.574440002441406,20.875,20.875,20.75,20.875,8000
1994-09-08,6.574440002441406,20.875,20.875,20.75,20.875,5200
1994-09-09,6.535070896148682,20.75,21.0,20.75,20.875,23800
1994-09-12,6.535070896148682,20.75,20.75,20.75,20.75,1000
1994-09-13,6.574440002441406,20.875,21.25,20.75,20.75,62600
1994-09-14,6.4957051277160645,20.625,20.875,20.625,20.875,2900
1994-09-15,6.692541599273682,21.25,21.25,20.625,20.625,4600
1994-09-16,6.574440002441406,20.875,21.25,20.875,21.25,16500
1994-09-19,6.692541599273682,21.25,21.375,21.0,21.0,24700
1994-09-20,6.653172969818115,21.125,21.25,21.125,21.25,33500
1994-09-21,6.613806247711182,21.0,21.125,21.0,21.125,32200
1994-09-22,6.574440002441406,20.875,21.0,20.75,21.0,52900
1994-09-23,6.377598762512207,20.25,20.875,20.25,20.875,46100
1994-09-26,6.416966915130615,20.375,20.5,20.375,20.375,30900
1994-09-27,6.45633602142334,20.5,21.0,20.375,20.375,57100
1994-09-28,6.4957051277160645,20.625,20.75,20.5,20.5,34700
1994-09-29,6.692541599273682,21.25,21.25,20.75,20.75,20200
1994-09-30,6.692541599273682,21.25,21.25,21.0,21.25,38800
1994-10-03,6.613806247711182,21.0,21.125,20.875,21.125,5800
1994-10-04,6.574440002441406,20.875,21.125,20.75,21.0,19000
1994-10-05,6.535070896148682,20.75,20.875,20.625,20.875,61100
1994-10-06,6.4957051277160645,20.625,20.75,20.625,20.75,5100
1994-10-07,6.613806247711182,21.0,21.125,20.75,20.75,9300
1994-10-10,6.535070896148682,20.75,21.0,20.75,21.0,16300
1994-10-11,6.574440002441406,20.875,21.0,20.75,20.75,9300
1994-10-12,6.574440002441406,20.875,20.875,20.75,20.875,5300
1994-10-13,6.535070896148682,20.75,21.0,20.75,20.875,113500
1994-10-14,6.377598762512207,20.25,20.75,20.25,20.75,21100
1994-10-17,6.416966915130615,20.375,20.375,20.0,20.25,96600
1994-10-18,6.416966915130615,20.375,20.375,20.25,20.375,9400
1994-10-19,6.416966915130615,20.375,20.375,20.25,20.375,61200
1994-10-20,6.377598762512207,20.25,20.375,20.125,20.375,36600
1994-10-21,6.377598762512207,20.25,20.25,20.125,20.25,3300
1994-10-24,6.298863410949707,20.0,20.375,20.0,20.25,21500
1994-10-25,6.416966915130615,20.375,20.375,20.0,20.0,40100
1994-10-26,6.377598762512207,20.25,20.375,20.25,20.375,29800
1994-10-27,6.338237285614014,20.125,20.25,20.125,20.25,900
1994-10-28,6.25949764251709,19.875,20.25,19.875,20.125,1000
1994-10-31,6.141392230987549,19.5,19.875,19.5,19.875,129000
1994-11-01,6.102025032043457,19.375,19.5,19.375,19.5,4900
1994-11-02,5.905184268951416,18.75,19.375,18.75,19.375,14200
1994-11-03,5.747714042663574,18.25,18.75,18.25,18.75,20800
1994-11-04,5.787081241607666,18.375,18.375,18.0,18.25,46900
1994-11-07,5.865817546844482,18.625,18.875,18.625,18.625,29900
1994-11-08,5.787081241607666,18.375,18.75,18.375,18.625,26400
1994-11-09,5.787081241607666,18.375,18.5,18.375,18.5,3500
1994-11-10,5.787081241607666,18.375,18.5,18.375,18.375,4700
1994-11-11,5.826449871063232,18.5,18.5,18.375,18.375,7900
1994-11-14,5.826449871063232,18.5,18.5,18.5,18.5,500
1994-11-15,5.787081241607666,18.375,18.5,18.25,18.5,16200
1994-11-16,5.787081241607666,18.375,18.375,18.25,18.25,15800
1994-11-17,5.787081241607666,18.375,18.375,18.375,18.375,500
1994-11-18,5.747714042663574,18.25,18.375,18.25,18.25,3400
1994-11-21,5.747714042663574,18.25,18.5,18.25,18.375,12500
1994-11-22,5.668978214263916,18.0,18.25,18.0,18.25,46700
1994-11-23,5.668978214263916,18.0,18.0,18.0,18.0,5500
1994-11-25,5.708344459533691,18.125,18.125,18.0,18.0,400
1994-11-28,5.668978214263916,18.0,18.125,18.0,18.125,10600
1994-11-29,5.590240955352783,17.75,18.0,17.75,18.0,26200
1994-11-30,5.668978214263916,18.0,18.0,18.0,18.0,6900
1994-12-01,5.708344459533691,18.125,18.125,18.0,18.0,27200
1994-12-02,5.668978214263916,18.0,18.25,18.0,18.125,76000
1994-12-05,5.668978214263916,18.0,18.375,17.875,18.0,67100
1994-12-06,5.590240955352783,17.75,18.0,17.75,18.0,111500
1994-12-07,5.629608631134033,17.875,18.0,17.75,17.75,11000
1994-12-08,5.668978214263916,18.0,18.0,17.875,18.0,17800
1994-12-09,5.590240955352783,17.75,18.0,17.75,17.875,12600
1994-12-12,5.708344459533691,18.125,18.125,17.75,17.75,26600
1994-12-13,5.747714042663574,18.25,18.25,18.0,18.125,10400
1994-12-14,5.905184268951416,18.75,18.75,18.125,18.25,9000
1994-12-15,5.944553375244141,18.875,18.875,18.625,18.875,34500
1994-12-16,6.298863410949707,20.0,20.0,19.125,19.125,53100
1994-12-19,6.613806247711182,21.0,21.0,20.0,20.0,16100
1994-12-20,6.535070896148682,20.75,21.0,20.5,21.0,47900
1994-12-21,6.535070896148682,20.75,20.875,20.75,20.875,5300
1994-12-22,6.338237285614014,20.125,20.625,20.125,20.625,11500
1994-12-23,6.338237285614014,20.125,20.125,20.125,20.125,2900
1994-12-27,6.298863410949707,20.0,20.375,20.0,20.25,6000
1994-12-28,6.338237285614014,20.125,20.125,20.125,20.125,500
1994-12-29,6.338237285614014,20.125,20.125,20.0,20.125,1200
1994-12-30,6.338237285614014,20.125,20.125,20.0,20.0,8300
1995-01-03,6.298863410949707,20.0,20.125,20.0,20.125,17900
1995-01-04,6.338237285614014,20.125,20.125,20.0,20.125,2700
1995-01-05,6.4957051277160645,20.625,20.625,20.0,20.0,25000
1995-01-06,6.377598762512207,20.25,20.5,20.25,20.5,2900
1995-01-09,6.45633602142334,20.5,20.5,20.25,20.25,17700
1995-01-10,6.45633602142334,20.5,20.625,20.5,20.5,11800
1995-01-11,6.416966915130615,20.375,20.875,20.375,20.75,38500
1995-01-12,6.416966915130615,20.375,20.375,20.375,20.375,5700
1995-01-13,6.377598762512207,20.25,20.375,20.25,20.375,10200
1995-01-16,6.416966915130615,20.375,20.375,20.25,20.25,15200
1995-01-17,6.338237285614014,20.125,20.375,20.125,20.375,33100
1995-01-18,6.25949764251709,19.875,20.125,19.625,20.125,25300
1995-01-19,6.338237285614014,20.125,20.125,20.0,20.0,13400
1995-01-20,6.298863410949707,20.0,20.0,20.0,20.0,600
1995-01-23,6.220128536224365,19.75,19.75,19.75,19.75,1800
1995-01-24,6.180757999420166,19.625,19.875,19.625,19.75,8500
1995-01-25,6.180757999420166,19.625,19.625,19.125,19.625,9500
1995-01-26,6.141392230987549,19.5,19.625,19.5,19.5,14000
1995-01-27,6.102025032043457,19.375,19.625,19.375,19.625,2400
1995-01-30,6.220128536224365,19.75,19.75,19.5,19.5,6700
1995-01-31,6.25949764251709,19.875,19.875,19.875,19.875,15300
1995-02-01,6.298863410949707,20.0,20.0,19.875,19.875,3500
1995-02-02,6.298863410949707,20.0,20.125,20.0,20.0,2900
1995-02-03,6.220128536224365,19.75,20.0,19.75,19.875,55700
1995-02-06,6.25949764251709,19.875,19.875,19.75,19.75,600
1995-02-07,6.220128536224365,19.75,19.875,19.75,19.75,800
1995-02-08,6.180757999420166,19.625,19.625,19.5,19.625,95200
1995-02-09,6.141392230987549,19.5,19.875,19.5,19.75,2000
1995-02-10,6.220128536224365,19.75,19.75,19.75,19.75,400
1995-02-13,6.141392230987549,19.5,19.75,19.25,19.75,2900
1995-02-14,6.141392230987549,19.5,19.5,19.25,19.375,13200
1995-02-15,6.141392230987549,19.5,19.5,19.375,19.5,89200
1995-02-16,6.062657833099365,19.25,19.375,19.25,19.375,2100
1995-02-17,6.023287296295166,19.125,19.125,19.125,19.125,21900
1995-02-21,6.062657833099365,19.25,19.25,19.0,19.25,34000
1995-02-22,5.983919143676758,19.0,19.125,19.0,19.125,700
1995-02-23,5.905184268951416,18.75,18.875,18.75,18.875,8400
1995-02-24,5.826449871063232,18.5,18.75,18.5,18.75,35300
1995-02-27,5.905184268951416,18.75,18.75,18.5,18.5,25800
1995-02-28,5.944553375244141,18.875,18.875,18.5,18.5,122200
1995-03-01,5.983919143676758,19.0,19.0,18.875,18.875,40400
1995-03-02,6.062657833099365,19.25,19.25,19.125,19.125,16500
1995-03-03,6.023287296295166,19.125,19.25,19.125,19.25,61000
1995-03-06,6.023287296295166,19.125,19.125,19.0,19.0,27800
1995-03-07,6.023287296295166,19.125,19.125,19.0,19.0,5600
1995-03-08,5.983919143676758,19.0,19.125,19.0,19.125,25600
1995-03-09,5.944553375244141,18.875,19.0,18.875,19.0,39500
1995-03-10,6.023287296295166,19.125,19.125,18.875,19.0,7400
1995-03-13,5.944553375244141,18.875,19.0,18.875,19.0,32900
1995-03-14,5.983919143676758,19.0,19.0,18.875,18.875,7300
1995-03-15,5.983919143676758,19.0,19.0,19.0,19.0,1200
1995-03-16,5.905184268951416,18.75,18.875,18.625,18.875,25100
1995-03-17,5.826449871063232,18.5,18.625,18.5,18.625,13900
1995-03-20,5.826449871063232,18.5,18.5,18.5,18.5,27300
1995-03-21,5.826449871063232,18.5,18.5,18.375,18.5,16900
1995-03-22,5.905184268951416,18.75,18.875,18.625,18.625,51500
1995-03-23,5.983919143676758,19.0,19.0,18.75,18.75,14900
1995-03-24,6.062657833099365,19.25,19.25,19.0,19.0,7400
1995-03-27,5.983919143676758,19.0,19.25,19.0,19.0,34700
1995-03-28,6.023287296295166,19.125,19.125,19.0,19.0,11200
1995-03-29,5.944553375244141,18.875,19.0,18.875,19.0,30100
1995-03-30,5.905184268951416,18.75,19.0,18.75,19.0,5000
1995-03-31,5.787081241607666,18.375,18.5,18.0,18.5,48200
1995-04-03,5.747714042663574,18.25,18.25,18.25,18.25,7100
1995-04-04,5.826449871063232,18.5,18.5,18.25,18.25,34800
1995-04-05,5.787081241607666,18.375,18.5,18.375,18.5,8500
1995-04-06,5.787081241607666,18.375,18.375,18.375,18.375,0
1995-04-07,5.787081241607666,18.375,18.5,18.375,18.5,5200
1995-04-10,5.787081241607666,18.375,18.375,18.125,18.375,7100
1995-04-11,5.747714042663574,18.25,18.375,18.125,18.375,21700
1995-04-12,5.747714042663574,18.25,18.25,18.125,18.125,700
1995-04-13,5.668978214263916,18.0,18.125,18.0,18.0,2000
1995-04-17,5.708344459533691,18.125,18.125,17.875,17.875,98800
1995-04-18,5.668978214263916,18.0,18.125,18.0,18.0,6100
1995-04-19,5.590240955352783,17.75,18.0,17.375,18.0,160400
1995-04-20,5.472138404846191,17.375,17.625,17.125,17.625,32300
1995-04-21,5.590240955352783,17.75,17.75,17.125,17.25,27700
1995-04-24,5.472138404846191,17.375,17.75,17.25,17.75,19500
1995-04-25,5.354035377502441,17.0,17.375,16.75,17.25,221300
1995-04-26,5.3934006690979,17.125,17.125,16.875,17.0,268800
1995-04-27,5.590240955352783,17.75,17.75,17.25,17.25,93600
1995-04-28,5.668978214263916,18.0,18.0,17.75,17.875,9400
1995-05-01,5.629608631134033,17.875,18.0,17.625,17.875,3700
1995-05-02,5.590240955352783,17.75,18.0,17.75,17.875,31400
1995-05-03,5.668978214263916,18.0,18.0,17.875,17.875,23900
1995-05-04,5.629608631134033,17.875,18.0,17.25,18.0,18000
1995-05-05,5.668978214263916,18.0,18.125,17.5,17.875,114500
