Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AVY,AVY,AVY,AVY,AVY,AVY
Date,,,,,,
1973-02-21,2.0141448974609375,5.15625,5.1875,5.15625,5.15625,22400
1973-02-22,2.0202486515045166,5.171875,5.203125,5.171875,5.171875,11200
1973-02-23,2.0080418586730957,5.140625,5.171875,5.125,5.171875,52800
1973-02-26,2.0019383430480957,5.125,5.125,5.125,5.125,9600
1973-02-27,2.0019383430480957,5.125,5.140625,5.125,5.125,18400
1973-02-28,2.0019383430480957,5.125,5.140625,5.125,5.125,29600
1973-03-01,1.9805659055709839,5.0625,5.125,5.0625,5.125,24000
1973-03-02,1.9683418273925781,5.03125,5.0625,5.03125,5.0625,36800
1973-03-05,1.9622288942337036,5.015625,5.046875,5.0,5.03125,48000
1973-03-06,1.9866806268692017,5.078125,5.078125,5.015625,5.015625,12800
1973-03-07,2.005019426345825,5.125,5.125,5.0625,5.078125,97600
1973-03-08,1.9989064931869507,5.109375,5.109375,5.09375,5.109375,8000
1973-03-09,1.9927945137023926,5.09375,5.125,5.09375,5.109375,100800
1973-03-12,1.9805659055709839,5.0625,5.09375,5.0625,5.09375,57600
1973-03-13,1.9683418273925781,5.03125,5.03125,5.03125,5.03125,114400
1973-03-14,1.9989064931869507,5.109375,5.125,5.0625,5.0625,226400
1973-03-15,2.0294711589813232,5.1875,5.21875,5.125,5.125,74400
1973-03-16,2.0294711589813232,5.1875,5.1875,5.15625,5.1875,116000
1973-03-19,2.047809362411499,5.234375,5.234375,5.171875,5.1875,53600
1973-03-20,2.0539214611053467,5.25,5.28125,5.203125,5.234375,40000
1973-03-21,2.066147565841675,5.28125,5.34375,5.265625,5.265625,65600
1973-03-22,2.005019426345825,5.125,5.265625,5.125,5.265625,69600
1973-03-23,2.005019426345825,5.125,5.140625,5.109375,5.125,20000
1973-03-26,2.0294711589813232,5.1875,5.21875,5.15625,5.15625,28800
1973-03-27,2.023357629776001,5.171875,5.1875,5.15625,5.1875,12000
1973-03-28,2.078373670578003,5.3125,5.3125,5.15625,5.171875,38400
1973-03-29,2.163952589035034,5.53125,5.53125,5.34375,5.34375,516000
1973-03-30,2.13950252532959,5.46875,5.5,5.4375,5.5,50400
1973-04-02,2.1517281532287598,5.5,5.5,5.4375,5.46875,12000
1973-04-03,2.176180362701416,5.5625,5.5625,5.46875,5.5,53600
1973-04-04,2.19451904296875,5.609375,5.609375,5.53125,5.5625,32800
1973-04-05,2.1700663566589355,5.546875,5.609375,5.546875,5.609375,21600
1973-04-06,2.1028246879577637,5.375,5.578125,5.375,5.546875,79200
1973-04-09,2.1028246879577637,5.375,5.375,5.34375,5.375,48000
1973-04-10,2.0722599029541016,5.296875,5.375,5.296875,5.375,125600
1973-04-11,1.9561156034469604,5.0,5.265625,5.0,5.265625,34400
1973-04-12,1.9989064931869507,5.109375,5.109375,5.015625,5.015625,92800
1973-04-13,1.9927945137023926,5.09375,5.109375,5.078125,5.109375,13600
1973-04-16,1.9866806268692017,5.078125,5.109375,5.078125,5.09375,26400
1973-04-17,1.9866806268692017,5.078125,5.09375,5.078125,5.078125,7200
1973-04-18,1.9622288942337036,5.015625,5.0625,5.0,5.0625,31200
1973-04-19,1.9622288942337036,5.015625,5.015625,5.0,5.015625,18400
1973-04-23,1.9561156034469604,5.0,5.015625,5.0,5.015625,29600
1973-04-24,1.9561156034469604,5.0,5.03125,5.0,5.0,40800
1973-04-25,1.8766487836837769,4.796875,4.96875,4.796875,4.96875,52800
1973-04-26,1.8277469873428345,4.671875,4.75,4.625,4.75,48800
1973-04-27,1.833858609199524,4.6875,4.71875,4.6875,4.6875,68000
1973-04-30,1.858310341835022,4.75,4.75,4.65625,4.6875,73600
1973-05-01,1.9072120189666748,4.875,4.90625,4.78125,4.78125,56800
1973-05-02,1.9072120189666748,4.875,4.875,4.859375,4.875,27200
1973-05-03,1.9377788305282593,4.953125,4.984375,4.859375,4.875,33600
1973-05-04,2.005019426345825,5.125,5.125,4.984375,4.984375,56000
1973-05-07,1.9927945137023926,5.09375,5.09375,5.0,5.09375,51200
1973-05-08,1.9805659055709839,5.0625,5.09375,5.0625,5.09375,5600
1973-05-09,2.0416975021362305,5.21875,5.21875,5.09375,5.09375,12800
1973-05-10,2.0294711589813232,5.1875,5.265625,5.1875,5.21875,59200
1973-05-11,1.9866806268692017,5.078125,5.1875,5.078125,5.1875,61600
1973-05-14,1.9683418273925781,5.03125,5.0625,5.03125,5.0625,27200
1973-05-15,1.9255508184432983,4.921875,5.0,4.921875,5.0,12000
1973-05-16,1.9133274555206299,4.890625,4.9375,4.890625,4.921875,11200
1973-05-17,1.8766487836837769,4.796875,4.875,4.78125,4.875,34400
1973-05-18,1.7849560976028442,4.5625,4.765625,4.5625,4.765625,18400
1973-05-21,1.7727296352386475,4.53125,4.5625,4.515625,4.5625,32000
1973-05-22,1.858310341835022,4.75,4.75,4.5625,4.5625,68000
1973-05-23,1.8705363273620605,4.78125,4.78125,4.75,4.75,24000
1973-05-24,1.9194382429122925,4.90625,4.90625,4.765625,4.78125,36000
1973-05-25,1.9927945137023926,5.09375,5.09375,4.84375,4.90625,56800
1973-05-29,1.9622288942337036,5.015625,5.09375,5.015625,5.09375,44800
1973-05-30,1.9316654205322266,4.9375,5.03125,4.9375,5.015625,10400
1973-05-31,1.8949873447418213,4.84375,4.890625,4.84375,4.890625,20800
1973-06-01,1.9072120189666748,4.875,4.96875,4.875,4.875,29600
1973-06-04,1.8949873447418213,4.84375,4.875,4.84375,4.875,11200
1973-06-05,1.8766487836837769,4.796875,4.84375,4.78125,4.84375,67200
1973-06-06,1.8827615976333618,4.8125,4.8125,4.78125,4.796875,8000
1973-06-07,1.9255508184432983,4.921875,4.921875,4.8125,4.8125,20800
1973-06-08,1.9438899755477905,4.96875,4.96875,4.921875,4.921875,43200
1973-06-11,1.9316654205322266,4.9375,4.9375,4.9375,4.9375,5600
1973-06-12,1.9683418273925781,5.03125,5.03125,4.96875,4.96875,7200
1973-06-13,1.9561156034469604,5.0,5.03125,4.984375,5.03125,20800
1973-06-14,1.9744561910629272,5.046875,5.046875,4.984375,5.0,32800
1973-06-15,1.9133274555206299,4.890625,5.03125,4.890625,5.03125,68800
1973-06-18,1.9011012315750122,4.859375,4.875,4.859375,4.875,8800
1973-06-19,1.8827615976333618,4.8125,4.875,4.8125,4.859375,105600
1973-06-20,1.9072120189666748,4.875,4.875,4.8125,4.8125,15200
1973-06-21,1.9133274555206299,4.890625,4.9375,4.875,4.875,13600
1973-06-22,1.9255508184432983,4.921875,4.9375,4.875,4.890625,23200
1973-06-25,1.9316654205322266,4.9375,4.9375,4.890625,4.921875,11200
1973-06-26,1.9377788305282593,4.953125,5.0,4.953125,4.953125,32800
1973-06-27,1.9561156034469604,5.0,5.0,4.953125,4.953125,55200
1973-06-28,2.0539214611053467,5.25,5.3125,5.03125,5.03125,69600
1973-06-29,2.03558349609375,5.203125,5.25,5.203125,5.25,31200
1973-07-02,2.017244815826416,5.15625,5.203125,5.15625,5.203125,6400
1973-07-03,2.005019426345825,5.125,5.140625,5.125,5.140625,13600
1973-07-05,2.03558349609375,5.203125,5.203125,5.109375,5.125,12000
1973-07-06,2.047809362411499,5.234375,5.234375,5.171875,5.203125,32000
1973-07-09,2.023357629776001,5.171875,5.21875,5.140625,5.21875,17600
1973-07-10,2.0111324787139893,5.140625,5.21875,5.140625,5.171875,15200
1973-07-11,2.03558349609375,5.203125,5.21875,5.171875,5.171875,21600
1973-07-12,2.0416975021362305,5.21875,5.21875,5.21875,5.21875,4000
1973-07-13,2.023357629776001,5.171875,5.1875,5.171875,5.1875,8800
1973-07-16,2.066147565841675,5.28125,5.3125,5.203125,5.203125,380800
1973-07-17,2.084486484527588,5.328125,5.34375,5.28125,5.28125,30400
1973-07-18,2.078373670578003,5.3125,5.34375,5.3125,5.328125,49600
1973-07-19,2.084486484527588,5.328125,5.328125,5.25,5.3125,14400
1973-07-20,2.078373670578003,5.3125,5.359375,5.3125,5.328125,23200
1973-07-23,2.0416975021362305,5.21875,5.328125,5.21875,5.3125,20800
